INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182066412,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,373,,2018-08-19 20:57:39,2018,8,Sunday,20,Part Three,POPES HILL ST,42.29326352,-71.04902283,"(42.29326352, -71.04902283)"
I182066411,00617,Larceny,LARCENY THEFT FROM BUILDING,E13,508,,2018-08-18 07:45:00,2018,8,Saturday,7,Part One,SOUTHBOURNE RD,42.28981486,-71.11767828,"(42.28981486, -71.11767828)"
I182066410,00613,Larceny,LARCENY SHOPLIFTING,C11,240,,2018-08-19 21:47:00,2018,8,Sunday,21,Part One,E COTTAGE ST,42.32004176,-71.06104118,"(42.32004176, -71.06104118)"
I182066409,03301,Verbal Disputes,VERBAL DISPUTE,E18,547,,2018-08-19 21:36:00,2018,8,Sunday,21,Part Three,HALLRON ST,42.26846689,-71.12869578,"(42.26846689, -71.12869578)"
I182066408,00311,Robbery,ROBBERY - COMMERCIAL,C11,817,,2018-08-19 22:05:00,2018,8,Sunday,22,Part One,TALBOT AVE,42.28863812,-71.06631579,"(42.28863812, -71.06631579)"
I182066406,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,578,,2018-08-19 21:06:00,2018,8,Sunday,21,Part Three,CENTRE ST,42.32238956,-71.10832681,"(42.32238956, -71.10832681)"
I182066405,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,577,,2018-08-19 21:09:00,2018,8,Sunday,21,Part Three,WASHINGTON ST,42.31485546,-71.09922410,"(42.31485546, -71.09922410)"
I182066404,00724,Auto Theft,AUTO THEFT,D4,270,,2018-08-19 21:51:00,2018,8,Sunday,21,Part One,NORTHAMPTON ST,42.33313833,-71.07474015,"(42.33313833, -71.07474015)"
I182066404,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,270,,2018-08-19 21:51:00,2018,8,Sunday,21,Other,NORTHAMPTON ST,42.33313833,-71.07474015,"(42.33313833, -71.07474015)"
I182066403,03207,Property Found,PROPERTY - FOUND,D14,795,,2018-08-19 21:00:00,2018,8,Sunday,21,Part Three,ALLSTON ST,42.34984183,-71.13678902,"(42.34984183, -71.13678902)"
I182066402,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,E13,608,,2018-08-18 17:00:00,2018,8,Saturday,17,Part One,S HUNTINGTON AVE,42.32425305,-71.11231088,"(42.32425305, -71.11231088)"
I182066401,03114,Investigate Property,INVESTIGATE PROPERTY,E13,577,,2018-08-19 21:53:00,2018,8,Sunday,21,Part Three,WASHINGTON ST,42.31485546,-71.09922410,"(42.31485546, -71.09922410)"
I182066400,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B3,469,,2018-08-19 20:59:00,2018,8,Sunday,20,Part Three,TENNIS RD,42.27615691,-71.09550303,"(42.27615691, -71.09550303)"
I182066399,03301,Verbal Disputes,VERBAL DISPUTE,D4,285,,2018-08-19 19:44:00,2018,8,Sunday,19,Part Three,TREMONT ST,42.33698202,-71.08458699,"(42.33698202, -71.08458699)"
I182066398,03115,Investigate Person,INVESTIGATE PERSON,D4, ,,2018-08-19 19:33:00,2018,8,Sunday,19,Part Three,HUNTINGTON AVE,,,"(0.00000000, 0.00000000)"
I182066397,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,186,,2018-08-19 20:58:00,2018,8,Sunday,20,Part Three,ALLSTATE RD,42.32614300,-71.06338264,"(42.32614300, -71.06338264)"
I182066396,01402,Vandalism,VANDALISM,E5,697,,2018-08-19 20:48:00,2018,8,Sunday,20,Part Two,MEREDITH ST,42.28468230,-71.15096121,"(42.28468230, -71.15096121)"
I182066395,00520,Residential Burglary,BURGLARY - RESIDENTIAL - FORCE,D4,626,,2018-08-19 19:45:00,2018,8,Sunday,19,Part One,QUEENSBERRY ST,42.34200380,-71.10011169,"(42.34200380, -71.10011169)"
I182066391,00617,Larceny,LARCENY THEFT FROM BUILDING,B2,328,,2018-08-19 20:47:00,2018,8,Sunday,20,Part One,CEYLON ST,42.30963475,-71.07321346,"(42.30963475, -71.07321346)"
I182066390,00617,Larceny,LARCENY THEFT FROM BUILDING,A1, ,,2018-08-19 17:30:00,2018,8,Sunday,17,Part One,BLACKSTONE ST,,,"(0.00000000, 0.00000000)"
I182066389,01874,Drug Violation,DRUGS - OTHER,B3, ,,2018-08-19 20:42:00,2018,8,Sunday,20,Part Two,AMERICAN LEGION HWY,,,"(0.00000000, 0.00000000)"
I182066388,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",D4,179,,2018-08-19 20:17:39,2018,8,Sunday,20,Part Two,MASSACHUSETTS AVE,42.33285585,-71.07262418,"(42.33285585, -71.07262418)"
I182066387,02647,Other,THREATS TO DO BODILY HARM,D14,790,,2018-08-19 19:53:00,2018,8,Sunday,19,Part Two,BEACON ST,42.33626664,-71.14950271,"(42.33626664, -71.14950271)"
I182066384,03301,Verbal Disputes,VERBAL DISPUTE,E18,519,,2018-08-19 20:02:00,2018,8,Sunday,20,Part Three,FAIRMOUNT AVE,42.25545720,-71.12078435,"(42.25545720, -71.12078435)"
I182066383,00423,Aggravated Assault,ASSAULT - AGGRAVATED,B2,328,,2018-08-19 20:02:00,2018,8,Sunday,20,Part One,LAWRENCE AVE,42.31077758,-71.07480891,"(42.31077758, -71.07480891)"
I182066381,01402,Vandalism,VANDALISM,D4,273,,2018-08-19 20:20:00,2018,8,Sunday,20,Part Two,MASSACHUSETTS AVE,42.33825572,-71.07920918,"(42.33825572, -71.07920918)"
I182066380,02401,Disorderly Conduct,AFFRAY,B2, ,,2018-08-19 19:32:00,2018,8,Sunday,19,Part Two,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
I182066380,02647,Other,THREATS TO DO BODILY HARM,B2, ,,2018-08-19 19:32:00,2018,8,Sunday,19,Part Two,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
I182066379,02629,Harassment,HARASSMENT,D14,752,,2018-08-19 18:00:00,2018,8,Sunday,18,Part Two,BRAYTON RD,42.34834581,-71.16967567,"(42.34834581, -71.16967567)"
I182066378,03301,Verbal Disputes,VERBAL DISPUTE,C11,357,,2018-08-19 19:37:00,2018,8,Sunday,19,Part Three,DAKOTA ST,42.30016543,-71.06685370,"(42.30016543, -71.06685370)"
I182066376,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,366,,2018-08-19 19:24:00,2018,8,Sunday,19,Part Three,LONSDALE ST,42.29111533,-71.05843629,"(42.29111533, -71.05843629)"
I182066375,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,64,,2018-08-19 18:17:00,2018,8,Sunday,18,Part Two,FRUIT ST,42.36240281,-71.06954652,"(42.36240281, -71.06954652)"
I182066373,03112,Landlord/Tenant Disputes,LANDLORD - TENANT SERVICE,E13,579,,2018-08-19 09:30:00,2018,8,Sunday,9,Part Three,PRIESING ST,42.32188259,-71.10378919,"(42.32188259, -71.10378919)"
I182066372,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,298,,2018-08-19 12:00:00,2018,8,Sunday,12,Part One,REGENT ST,42.32347517,-71.08750190,"(42.32347517, -71.08750190)"
I182066371,03114,Investigate Property,INVESTIGATE PROPERTY,E18,493,,2018-08-19 19:06:00,2018,8,Sunday,19,Part Three,RIVER STREET TER,42.26086987,-71.11234054,"(42.26086987, -71.11234054)"
I182066368,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,587,,2018-08-19 19:05:00,2018,8,Sunday,19,Part Two,TREMONT ST,42.33153509,-71.09534648,"(42.33153509, -71.09534648)"
I182066367,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D14,791,,2018-08-19 19:10:00,2018,8,Sunday,19,Part Two,WASHINGTON ST,42.34266946,-71.14098779,"(42.34266946, -71.14098779)"
I182066367,00801,Simple Assault,ASSAULT - SIMPLE,D14,791,,2018-08-19 19:10:00,2018,8,Sunday,19,Part Two,WASHINGTON ST,42.34266946,-71.14098779,"(42.34266946, -71.14098779)"
I182066366,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,201,,2018-08-19 18:45:00,2018,8,Sunday,18,Part Two,ATHENS ST,42.34070297,-71.05267418,"(42.34070297, -71.05267418)"
I182066365,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",B3, ,,2018-08-19 17:55:00,2018,8,Sunday,17,Part Two,LESTON ST,,,"(0.00000000, 0.00000000)"
I182066365,02610,Other,TRESPASSING,B3, ,,2018-08-19 17:55:00,2018,8,Sunday,17,Part Two,LESTON ST,,,"(0.00000000, 0.00000000)"
I182066365,02405,Disorderly Conduct,DISORDERLY CONDUCT,B3, ,,2018-08-19 17:55:00,2018,8,Sunday,17,Part Two,LESTON ST,,,"(0.00000000, 0.00000000)"
I182066363,03301,Verbal Disputes,VERBAL DISPUTE,D14,800,,2018-08-19 18:38:00,2018,8,Sunday,18,Part Three,CHESTER ST,42.35410505,-71.12792774,"(42.35410505, -71.12792774)"
I182066362,00301,Robbery,ROBBERY - STREET,E5,726,,2018-08-19 18:45:00,2018,8,Sunday,18,Part One,SPRING ST,42.27757964,-71.16274799,"(42.27757964, -71.16274799)"
I182066361,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,329,,2018-08-19 18:45:00,2018,8,Sunday,18,Part Two,BLUE HILL AVE,42.30896999,-71.08284839,"(42.30896999, -71.08284839)"
I182066360,03115,Investigate Person,INVESTIGATE PERSON,E18,522,,2018-08-19 18:00:00,2018,8,Sunday,18,Part Three,HYDE PARK AVE,42.24883412,-71.12680769,"(42.24883412, -71.12680769)"
I182066359,01402,Vandalism,VANDALISM,B2,265,,2018-08-19 17:44:00,2018,8,Sunday,17,Part Two,IRWIN AVE,42.32146220,-71.07803670,"(42.32146220, -71.07803670)"
I182066356,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,519,,2018-08-19 18:21:00,2018,8,Sunday,18,Part Three,RIVER ST,42.25838975,-71.11819334,"(42.25838975, -71.11819334)"
I182066355,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,441,,2018-08-19 17:31:00,2018,8,Sunday,17,Part Two,BROWNING AVE,42.29385719,-71.08324022,"(42.29385719, -71.08324022)"
I182066354,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,C11,351,,2018-08-19 18:16:00,2018,8,Sunday,18,Part Three,ADAMS ST,42.30029712,-71.05902229,"(42.30029712, -71.05902229)"
I182066353,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,C6,936,,2018-08-19 17:43:00,2018,8,Sunday,17,Part Two,DALESSIO CT,42.33901243,-71.05505848,"(42.33901243, -71.05505848)"
I182066352,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,359,,2018-08-19 18:53:00,2018,8,Sunday,18,Part Two,PARK ST,42.29685211,-71.06702258,"(42.29685211, -71.06702258)"
I182066351,00801,Simple Assault,ASSAULT - SIMPLE,E18,522,,2018-08-19 17:34:00,2018,8,Sunday,17,Part Two,HYDE PARK AVE,42.25189440,-71.12535310,"(42.25189440, -71.12535310)"
I182066351,03301,Verbal Disputes,VERBAL DISPUTE,E18,522,,2018-08-19 17:34:00,2018,8,Sunday,17,Part Three,HYDE PARK AVE,42.25189440,-71.12535310,"(42.25189440, -71.12535310)"
I182066350,00619,Larceny,LARCENY ALL OTHERS,B2,292,,2018-08-19 09:00:00,2018,8,Sunday,9,Part One,KENILWORTH ST,42.32874077,-71.08771559,"(42.32874077, -71.08771559)"
I182066350,00617,Larceny,LARCENY THEFT FROM BUILDING,B2,292,,2018-08-19 09:00:00,2018,8,Sunday,9,Part One,KENILWORTH ST,42.32874077,-71.08771559,"(42.32874077, -71.08771559)"
I182066348,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,757,,2018-08-19 14:00:00,2018,8,Sunday,14,Part One,WOODMONT ST,42.35681945,-71.16260160,"(42.35681945, -71.16260160)"
I182066347,02632,Evading Fare,EVADING FARE,B2,301,,2018-08-19 18:16:00,2018,8,Sunday,18,Part Two,MARCELLA ST,42.32584291,-71.09654897,"(42.32584291, -71.09654897)"
I182066346,00801,Simple Assault,ASSAULT - SIMPLE,B3,427,,2018-08-19 17:45:00,2018,8,Sunday,17,Part Two,NORFOLK ST,42.27759869,-71.09136804,"(42.27759869, -71.09136804)"
I182066345,02647,Other,THREATS TO DO BODILY HARM,A1,954,,2018-08-19 14:14:00,2018,8,Sunday,14,Part Two,FULTON ST,42.36293611,-71.05253795,"(42.36293611, -71.05253795)"
I182066344,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,A1,84,,2018-08-19 14:00:00,2018,8,Sunday,14,Part Three,SALEM ST,42.36359292,-71.05587190,"(42.36359292, -71.05587190)"
I182066343,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,628,,2018-08-19 18:10:00,2018,8,Sunday,18,Part One,BROOKLINE AVE,42.34518280,-71.10066932,"(42.34518280, -71.10066932)"
I182066341,00613,Larceny,LARCENY SHOPLIFTING,A1,94,,2018-08-18 20:32:00,2018,8,Saturday,20,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182066340,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,130,,2018-08-19 17:05:00,2018,8,Sunday,17,Part Two,BOYLSTON ST,42.34980175,-71.07840978,"(42.34980175, -71.07840978)"
I182066339,03114,Investigate Property,INVESTIGATE PROPERTY,D4,620,,2018-08-19 17:44:00,2018,8,Sunday,17,Part Three,BURBANK ST,42.34447409,-71.08889326,"(42.34447409, -71.08889326)"
I182066338,00619,Larceny,LARCENY ALL OTHERS,E18,527,,2018-08-19 16:10:00,2018,8,Sunday,16,Part One,HYDE PARK AVE,42.23850959,-71.13277923,"(42.23850959, -71.13277923)"
I182066337,01402,Vandalism,VANDALISM,A1,75,,2018-08-18 14:00:00,2018,8,Saturday,14,Part Two,CAUSEWAY ST,42.36497550,-71.06204400,"(42.36497550, -71.06204400)"
I182066336,00619,Larceny,LARCENY ALL OTHERS,B2,179,,2018-07-31 17:00:00,2018,7,Tuesday,17,Part One,READING ST,42.33061974,-71.07388234,"(42.33061974, -71.07388234)"
I182066335,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C11,461,,2018-08-19 17:00:00,2018,8,Sunday,17,Part Two,WASHINGTON ST,42.30022551,-71.07468313,"(42.30022551, -71.07468313)"
I182066333,02647,Other,THREATS TO DO BODILY HARM,B2,328,,2018-08-19 16:34:00,2018,8,Sunday,16,Part Two,MAGNOLIA ST,42.31193478,-71.07341982,"(42.31193478, -71.07341982)"
I182066332,03125,Warrant Arrests,WARRANT ARREST,A1,77,,2018-08-19 17:22:00,2018,8,Sunday,17,Part Three,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182066330,00613,Larceny,LARCENY SHOPLIFTING,A1,94,,2018-08-18 20:02:00,2018,8,Saturday,20,Part One,STATE ST,42.35942556,-71.05288819,"(42.35942556, -71.05288819)"
I182066329,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",C6, ,,2018-08-19 01:45:00,2018,8,Sunday,1,Part Two,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
I182066329,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,C6, ,,2018-08-19 01:45:00,2018,8,Sunday,1,Part Two,MASSACHUSETTS AVE,,,"(0.00000000, 0.00000000)"
I182066326,00522,Residential Burglary,BURGLARY - RESIDENTIAL - NO FORCE,D4,626,,2018-08-19 14:41:00,2018,8,Sunday,14,Part One,QUEENSBERRY ST,42.34255587,-71.09807867,"(42.34255587, -71.09807867)"
I182066325,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,E13,302,,2018-08-19 15:42:00,2018,8,Sunday,15,Part Three,COLUMBUS AVE,42.32492546,-71.09839601,"(42.32492546, -71.09839601)"
I182066324,03115,Investigate Person,INVESTIGATE PERSON,E18,486,,2018-08-13 12:00:00,2018,8,Monday,12,Part Three,RALSTON RD,42.26572445,-71.10313612,"(42.26572445, -71.10313612)"
I182066323,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,B2,586,,2018-08-18 16:00:00,2018,8,Saturday,16,Part Three,HILLSIDE ST,42.33013124,-71.10138008,"(42.33013124, -71.10138008)"
I182066321,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1,118,,2018-08-19 15:47:00,2018,8,Sunday,15,Part Three,STUART ST,42.35115433,-71.06547895,"(42.35115433, -71.06547895)"
I182066320,00616,Larceny,LARCENY THEFT OF BICYCLE,A1,77,,2018-08-18 16:00:00,2018,8,Saturday,16,Part One,NEW SUDBURY ST,42.36183857,-71.05976489,"(42.36183857, -71.05976489)"
I182066319,01845,Drug Violation,DRUGS - POSS CLASS D,E5,552,,2018-08-19 15:46:00,2018,8,Sunday,15,Part Two,CHISHOLM RD,42.27565476,-71.12695602,"(42.27565476, -71.12695602)"
I182066319,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,E5,552,,2018-08-19 15:46:00,2018,8,Sunday,15,Part Two,CHISHOLM RD,42.27565476,-71.12695602,"(42.27565476, -71.12695602)"
I182066319,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,E5,552,,2018-08-19 15:46:00,2018,8,Sunday,15,Part Two,CHISHOLM RD,42.27565476,-71.12695602,"(42.27565476, -71.12695602)"
I182066318,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C6,193,,2018-08-19 15:06:00,2018,8,Sunday,15,Part Three,PREBLE ST,42.32922503,-71.05424964,"(42.32922503, -71.05424964)"
I182066316,03201,Property Lost,PROPERTY - LOST,B2,265,,2018-08-19 16:03:00,2018,8,Sunday,16,Part Three,CLIFFORD ST,42.31985444,-71.07972518,"(42.31985444, -71.07972518)"
I182066315,00613,Larceny,LARCENY SHOPLIFTING,D4,138,,2018-08-19 15:30:00,2018,8,Sunday,15,Part One,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182066315,03125,Warrant Arrests,WARRANT ARREST,D4,138,,2018-08-19 15:30:00,2018,8,Sunday,15,Part Three,BOYLSTON ST,42.34862382,-71.08277637,"(42.34862382, -71.08277637)"
I182066314,02629,Harassment,HARASSMENT,B3,427,,2018-08-19 15:43:00,2018,8,Sunday,15,Part Two,FESSENDEN ST,42.27855984,-71.09199697,"(42.27855984, -71.09199697)"
I182066313,03410,Towed,TOWED MOTOR VEHICLE,D4,147,,2018-08-19 11:58:00,2018,8,Sunday,11,Part Three,MASSACHUSETTS AVE,42.34114797,-71.08246189,"(42.34114797, -71.08246189)"
I182066312,03301,Verbal Disputes,VERBAL DISPUTE,D4,273,,2018-08-19 14:57:00,2018,8,Sunday,14,Part Three,LENOX ST,42.33616864,-71.08042312,"(42.33616864, -71.08042312)"
I182066310,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,C6,256,,2018-08-19 15:36:00,2018,8,Sunday,15,Part Two,WILLIAM T MORRISSEY BLVD,42.31928523,-71.05027167,"(42.31928523, -71.05027167)"
I182066309,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,61,,2018-08-18 10:30:00,2018,8,Saturday,10,Part Three,LEGENDS WAY,42.36643546,-71.06135413,"(42.36643546, -71.06135413)"
I182066307,03301,Verbal Disputes,VERBAL DISPUTE,A7,33,,2018-08-19 14:06:00,2018,8,Sunday,14,Part Three,MAVERICK ST,42.36815918,-71.03438535,"(42.36815918, -71.03438535)"
I182066306,00613,Larceny,LARCENY SHOPLIFTING,B3,476,,2018-08-19 14:50:00,2018,8,Sunday,14,Part One,BLUE HILL AVE,42.26994732,-71.09380308,"(42.26994732, -71.09380308)"
I182066304,03115,Investigate Person,INVESTIGATE PERSON,C11,333,,2018-08-19 14:00:00,2018,8,Sunday,14,Part Three,HAMILTON ST,42.30876798,-71.07046720,"(42.30876798, -71.07046720)"
I182066302,00613,Larceny,LARCENY SHOPLIFTING,C11,450,,2018-08-19 14:51:00,2018,8,Sunday,14,Part One,WASHINGTON ST,42.29131613,-71.07170293,"(42.29131613, -71.07170293)"
I182066301,00724,Auto Theft,AUTO THEFT,B2,331,,2018-08-19 01:00:00,2018,8,Sunday,1,Part One,QUINCY ST,42.31168573,-71.07111997,"(42.31168573, -71.07111997)"
I182066300,00724,Auto Theft,AUTO THEFT,B2,263,,2018-08-19 15:06:00,2018,8,Sunday,15,Part One,BLUE HILL AVE,42.32324394,-71.07642483,"(42.32324394, -71.07642483)"
I182066299,03301,Verbal Disputes,VERBAL DISPUTE,A7,4,,2018-08-19 14:11:00,2018,8,Sunday,14,Part Three,SARATOGA ST,42.38423979,-71.00003921,"(42.38423979, -71.00003921)"
I182066297,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,E13,584,,2018-08-19 14:21:00,2018,8,Sunday,14,Part Three,HEATH ST,42.32665471,-71.10679596,"(42.32665471, -71.10679596)"
I182066296,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,2018-08-19 14:00:00,2018,8,Sunday,14,Part One,BOYLSTON ST,42.35095909,-71.07412780,"(42.35095909, -71.07412780)"
I182066295,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,164,,2018-08-19 13:50:00,2018,8,Sunday,13,Part Two,PERRY ST,42.34281748,-71.06705160,"(42.34281748, -71.06705160)"
I182066293,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,D14,774,,2018-08-16 19:00:00,2018,8,Thursday,19,Part One,CHESTNUT HILL AVE,42.34082852,-71.15500372,"(42.34082852, -71.15500372)"
I182066293,01402,Vandalism,VANDALISM,D14,774,,2018-08-16 19:00:00,2018,8,Thursday,19,Part Two,CHESTNUT HILL AVE,42.34082852,-71.15500372,"(42.34082852, -71.15500372)"
I182066292,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A7,902,,2018-08-19 13:34:00,2018,8,Sunday,13,Part Three,SUMNER ST,42.36865862,-71.03924873,"(42.36865862, -71.03924873)"
I182066291,03410,Towed,TOWED MOTOR VEHICLE,A1,87,,2018-08-19 13:21:00,2018,8,Sunday,13,Part Three,HANOVER ST,42.36683278,-71.05261725,"(42.36683278, -71.05261725)"
I182066290,00619,Larceny,LARCENY ALL OTHERS,C6,177,,2018-08-19 13:41:00,2018,8,Sunday,13,Part One,MASSACHUSETTS AVE,42.32779976,-71.06771009,"(42.32779976, -71.06771009)"
I182066288,03410,Towed,TOWED MOTOR VEHICLE,C6,213,,2018-08-19 13:02:00,2018,8,Sunday,13,Part Three,F ST,42.33741306,-71.04705969,"(42.33741306, -71.04705969)"
I182066287,03115,Investigate Person,INVESTIGATE PERSON,D4,624,,2018-08-19 11:55:00,2018,8,Sunday,11,Part Three,BOYLSTON ST,42.34489594,-71.09659186,"(42.34489594, -71.09659186)"
I182066286,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1, ,,2018-08-19 14:22:00,2018,8,Sunday,14,Part Two,SCHOOL ST,,,"(0.00000000, 0.00000000)"
I182066285,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,C11,461,,2018-08-19 14:22:00,2018,8,Sunday,14,Part Three,WASHINGTON ST,42.30022551,-71.07468313,"(42.30022551, -71.07468313)"
I182066284,02647,Other,THREATS TO DO BODILY HARM,A7,29,,2018-08-19 12:30:00,2018,8,Sunday,12,Part Two,MAVERICK SQ,42.36943145,-71.03917179,"(42.36943145, -71.03917179)"
I182066283,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,A1, ,,2018-08-19 13:40:00,2018,8,Sunday,13,Part Three,BROMFIELD ST,,,"(0.00000000, 0.00000000)"
I182066282,02900,Other,VAL - VIOLATION OF AUTO LAW - OTHER,B2,282,,2018-08-19 09:06:00,2018,8,Sunday,9,Part Two,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182066282,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B2,282,,2018-08-19 09:06:00,2018,8,Sunday,9,Part Two,WARREN ST,42.32823419,-71.08328981,"(42.32823419, -71.08328981)"
I182066281,03114,Investigate Property,INVESTIGATE PROPERTY,D4,748,,2018-08-19 13:27:00,2018,8,Sunday,13,Part Three,,,,"(0.00000000, 0.00000000)"
I182066280,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C6,235,,2018-08-19 14:05:00,2018,8,Sunday,14,Part Three,DORCHESTER AVE,42.32137427,-71.05679486,"(42.32137427, -71.05679486)"
I182066279,00613,Larceny,LARCENY SHOPLIFTING,D4,146,,2018-08-19 12:45:00,2018,8,Sunday,12,Part One,HUNTINGTON AVE,42.34797240,-71.07849582,"(42.34797240, -71.07849582)"
I182066278,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D4,632,,2018-08-18 22:15:00,2018,8,Saturday,22,Part Three,UNIVERSITY RD,42.35095140,-71.10956892,"(42.35095140, -71.10956892)"
I182066277,03114,Investigate Property,INVESTIGATE PROPERTY,E5,560,,2018-08-19 13:18:00,2018,8,Sunday,13,Part Three,HAWTHORNE ST,42.28405737,-71.12686562,"(42.28405737, -71.12686562)"
I182066277,03301,Verbal Disputes,VERBAL DISPUTE,E5,560,,2018-08-19 13:18:00,2018,8,Sunday,13,Part Three,HAWTHORNE ST,42.28405737,-71.12686562,"(42.28405737, -71.12686562)"
I182066276,03301,Verbal Disputes,VERBAL DISPUTE,C11,387,,2018-08-19 13:37:00,2018,8,Sunday,13,Part Three,MEDWAY ST,42.27209952,-71.06578251,"(42.27209952, -71.06578251)"
I182066275,02662,Ballistics,BALLISTICS EVIDENCE/FOUND,E13,572,,2018-08-19 11:41:00,2018,8,Sunday,11,Part Two,IFFLEY RD,42.31236627,-71.09933740,"(42.31236627, -71.09933740)"
I182066274,01402,Vandalism,VANDALISM,B2,326,,2018-08-19 03:30:00,2018,8,Sunday,3,Part Two,BLUE HILL AVE,42.31214719,-71.08053224,"(42.31214719, -71.08053224)"
I182066273,03115,Investigate Person,INVESTIGATE PERSON,D4,620,,2018-08-19 12:34:00,2018,8,Sunday,12,Part Three,MASSACHUSETTS AVE,42.34621459,-71.08721196,"(42.34621459, -71.08721196)"
I182066272,03201,Property Lost,PROPERTY - LOST,B2,566,,2018-06-30 11:00:00,2018,6,Saturday,11,Part Three,FRANKLIN PARK RD,42.30238064,-71.08711830,"(42.30238064, -71.08711830)"
I182066270,03115,Investigate Person,INVESTIGATE PERSON,D4,134,,2018-08-19 12:03:00,2018,8,Sunday,12,Part Three,BOYLSTON ST,42.35037870,-71.07626098,"(42.35037870, -71.07626098)"
I182066268,03410,Towed,TOWED MOTOR VEHICLE,C6,215,,2018-08-19 08:36:00,2018,8,Sunday,8,Part Three,E ST,42.33539376,-71.05212586,"(42.33539376, -71.05212586)"
I182066266,03207,Property Found,PROPERTY - FOUND,C11,244,,2018-08-19 12:53:00,2018,8,Sunday,12,Part Three,TAFT ST,42.31730290,-71.05793388,"(42.31730290, -71.05793388)"
I182066265,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,409,,2018-08-19 11:40:00,2018,8,Sunday,11,Part One,RIVER ST,42.27152081,-71.07675823,"(42.27152081, -71.07675823)"
